"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters"
"0500000US39065","Hardin County, Ohio","31425","*****","29106","313","11678","318","6248","339","1344","172","4904","347","5430","300","1730","198","3700","280","6274","294","20","25","735","150","20","29","8608","425","8047","474","98","49","463","186","508","165","131","95","176","86","36","30","83","61","200","95","38","57","599","181","2319","313"
"0500000US39067","Harrison County, Ohio","15211","*****","14936","121","6223","208","3395","213","940","129","2455","218","2828","211","840","130","1988","187","3416","219","9","10","378","100","3","5","3865","275","3525","298","137","83","203","88","374","122","96","70","73","60","19","17","93","57","102","64","62","80","223","98","275","121"
"0500000US39069","Henry County, Ohio","27208","*****","26758","170","10992","236","5823","266","1431","193","4392","285","5169","242","1385","167","3784","259","5756","242","48","29","808","172","7","9","7550","321","7199","319","88","48","263","85","642","239","138","69","97","46","37","28","35","29","151","60","52","46","445","134","450","170"
"0500000US39071","Highland County, Ohio","43016","*****","42445","153","16772","341","8433","388","2051","270","6382","388","8339","392","2525","261","5814","375","8199","362","37","23","1497","250","10","15","12277","558","11158","606","464","205","655","209","1304","358","312","131","441","169","40","32","137","85","288","116","117","82","1014","238","571","153"
"0500000US39073","Hocking County, Ohio","28390","*****","27808","221","11286","330","5903","340","1277","174","4626","327","5383","291","1513","179","3870","294","6027","312","12","16","965","171","19","24","7297","389","6626","382","207","103","464","160","792","236","238","110","237","93","27","36","90","50","292","141","12","18","514","177","582","221"
"0500000US39075","Holmes County, Ohio","43901","*****","43005","260","12342","294","7935","331","882","188","7053","347","4407","337","1253","195","3154","315","8681","358","14","13","374","139","30","36","19190","455","18388","468","386","181","416","165","521","177","373","145","385","141","71","49","228","101","240","123","14","20","542","199","896","260"
"0500000US39077","Huron County, Ohio","58339","*****","57416","283","22935","361","11714","491","2920","291","8794","494","11221","416","3259","227","7962","391","11499","406","12","13","1777","260","43","36","17010","486","15690","534","430","172","890","220","1264","256","346","120","268","83","135","80","140","76","599","199","101","69","1287","266","923","283"
"0500000US39079","Jackson County, Ohio","32450","*****","32094","134","12780","340","6233","413","1441","252","4792","371","6547","417","1743","241","4804","416","6639","412","3","16","860","209","0","24","8736","659","7968","650","22","28","746","268","1355","415","197","116","187","121","8","13","215","103","307","169","41","56","766","311","356","134"
"0500000US39081","Jefferson County, Ohio","66371","*****","64038","502","27428","455","13597","451","3837","334","9760","400","13831","443","4862","313","8969","438","12526","392","40","26","1779","255","52","43","17070","587","15563","570","460","200","1047","176","1497","320","477","128","419","125","165","88","246","107","406","133","34","34","1899","409","2333","502"
"0500000US39083","Knox County, Ohio","61481","*****","57868","320","23248","361","12256","475","2671","312","9585","541","10992","458","3166","333","7826","406","12960","516","60","48","1459","252","34","44","16197","530","15126","589","282","99","789","225","996","228","411","180","331","136","112","89","109","59","383","150","80","101","1488","398","3613","320"
"0500000US39085","Lake County, Ohio","229954","*****","226846","360","96361","699","48579","933","12837","632","35742","918","47782","858","16106","672","31676","861","46583","965","199","83","5888","484","240","79","62497","1059","58815","1182","1171","303","2511","397","3810","516","1421","245","1843","331","464","143","834","212","1153","289","64","52","5489","869","3108","360"
"0500000US39087","Lawrence County, Ohio","60184","*****","59500","226","23221","462","11034","509","2975","346","8059","477","12187","567","3865","366","8322","571","10899","514","55","41","1558","269","24","30","17606","833","16098","878","489","197","1019","353","1975","451","385","180","855","268","250","152","118","65","891","260","52","73","1611","438","684","226"
