"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M","B09019_027E","B09019_027M","B09019_028E","B09019_028M","B09019_029E","B09019_029M","B09019_030E","B09019_030M","B09019_031E","B09019_031M","B09019_032E","B09019_032M","B09019_033E","B09019_033M","B09019_034E","B09019_034M","B09019_035E","B09019_035M","B09019_036E","B09019_036M","B09019_037E","B09019_037M","B09019_038E","B09019_038M"
"0500000US39125","Paulding County, Ohio","18951","*****","18863","15","16172","237","5242","215","3076","209","2166","181","4217","230","5552","306","4963","339","68","36","521","181","401","112","118","61","85","52","55","33","17","18","95","50","390","124","12","17","56","51","203","73","25","26","94","66","2691","236","2347","192","1151","145","985","132","166","64","1196","147","1090","136","106","59","344","103","20","22","54","49","218","63","9","14","43","48","88","15"
"0500000US39127","Perry County, Ohio","35983","*****","35646","134","31331","475","10054","320","5163","365","4891","335","7501","386","10383","489","9503","499","245","119","635","201","1407","318","236","112","279","157","27","26","93","49","294","143","1057","220","32","35","38","33","605","147","32","45","350","136","4315","457","3522","314","1877","267","1440","223","437","149","1645","198","1425","185","220","89","793","208","57","55","82","67","497","171","32","52","125","67","337","134"
"0500000US39129","Pickaway County, Ohio","57075","*****","52308","291","45608","518","14111","370","7541","352","6570","409","11069","432","15783","580","14412","652","377","141","994","273","1796","316","386","140","559","200","115","76","231","95","333","141","1225","260","18","21","122","114","653","167","74","68","358","141","6700","509","5354","405","2647","294","1985","275","662","155","2707","260","2290","276","417","115","1346","235","24","24","168","80","871","174","0","27","283","152","4767","291"
"0500000US39131","Pike County, Ohio","28291","*****","27821","193","23663","554","7500","410","4068","343","3432","301","5133","364","7733","607","6910","585","55","52","768","286","1113","301","177","92","213","99","26","29","155","84","647","420","966","231","94","105","103","80","510","164","0","21","259","123","4158","510","3533","390","1577","245","1249","233","328","139","1956","278","1725","249","231","109","625","212","25","31","75","55","375","148","0","21","150","116","470","193"
"0500000US39133","Portage County, Ohio","162080","*****","155184","437","124388","1344","39535","815","21138","820","18397","690","30091","741","43804","1061","40884","1197","890","307","2030","438","2707","406","1326","334","1153","280","367","147","615","190","1410","438","3380","495","95","59","578","227","1686","310","206","114","815","247","30796","1259","22673","838","11270","633","8462","596","2808","347","11403","559","9173","485","2230","255","8123","754","412","196","4020","538","2602","361","0","27","1089","273","6896","437"
"0500000US39135","Preble County, Ohio","41328","*****","40905","104","35143","476","11447","327","6142","287","5305","303","9212","350","11264","389","10215","417","359","130","690","193","1025","199","155","64","192","76","71","45","210","73","358","155","1209","194","58","44","58","41","483","100","61","65","549","176","5762","483","4679","310","2219","232","1716","222","503","149","2460","216","2148","188","312","85","1083","260","124","92","271","141","458","123","44","47","186","81","423","104"
"0500000US39137","Putnam County, Ohio","34037","*****","33732","133","29879","318","9812","253","5853","297","3959","276","8310","257","10768","313","10199","310","112","41","457","145","313","133","110","47","60","38","8","9","50","47","102","60","346","103","16","19","15","17","175","70","0","24","140","61","3853","320","3347","249","1524","170","1275","140","249","83","1823","193","1630","176","193","72","506","128","29","38","63","38","357","108","0","24","57","34","305","133"
"0500000US39139","Richland County, Ohio","121533","*****","114392","396","93185","1158","30313","747","16126","641","14187","674","22643","657","31288","840","29100","1083","923","249","1265","388","2703","490","731","186","913","272","210","108","289","104","1087","276","3008","459","173","99","299","122","1217","267","192","103","1127","341","21207","1057","17674","710","7932","484","6352","411","1580","286","9742","521","8719","489","1023","185","3533","554","38","30","742","242","1804","302","0","27","949","297","7141","396"
"0500000US39141","Ross County, Ohio","77125","*****","71141","325","60665","796","20001","505","9984","513","10017","523","14628","528","19751","596","18074","623","431","196","1246","277","2079","364","402","135","438","159","204","118","291","131","804","229","2067","355","105","79","92","111","1301","269","55","52","514","143","10476","777","8525","544","4459","437","3590","340","869","212","4066","347","3528","325","538","154","1951","389","159","119","501","253","915","193","0","27","376","203","5984","325"
"0500000US39143","Sandusky County, Ohio","59559","*****","58269","271","48290","730","15737","496","8469","420","7268","438","11625","387","16554","477","15488","493","328","112","738","176","1332","243","301","97","400","141","118","70","166","68","643","240","1414","279","148","91","272","120","663","164","12","18","319","161","9979","721","7984","453","3643","289","2713","277","930","192","4341","305","3726","279","615","151","1995","371","314","133","267","132","975","161","0","27","439","184","1290","271"
